Category,Message
spam,you are a winner u have been specially selected 2 receive 1000 or a 4 holiday flights inc speak to a live operator 2 claim 0871277810910pmin 18
spam,urgent please call 09061743811 from landline your abta complimentary 4 tenerife holiday or 5000 cash await collection sae tcs box 326 cw25wx 150ppm
spam,i want some cock my hubbys away i need a real man 2 satisfy me txt wife to 89938 for no strings action txt stop 2 end txt rec 150ea otbox 731 la1 7ws 
spam,latest news police station toilet stolen cops have nothing to go on
spam,bangbabes ur order is on the way u should receive a service msg 2 download ur content if u do not goto wap bangb tv on ur mobile internetservice menu
ham,will do was exhausted on train this morning too much wine and pie you sleep well too
ham,oh howda gud gud mathe en samachara chikku
ham,dear heroi am leaving to qatar tonite for an apt opportunitypls do keep in touch at  ltemailgt kerala
ham,great how is the office today
ham,oooh bed ridden ey what are you thinking of
spam,hmv bonus special 500 pounds of genuine hmv vouchers to be won just answer 4 easy questions play now send hmv to 86688 more infowww100percentrealcom
ham,sent me ur email id soon
spam,bored of speed dating try speedchat txt speedchat to 80155 if you dont like em txt swap and get a new chatter chat80155 pobox36504w45wq 150pmsg rcd 16
spam,hi im sue i am 20 years old and work as a lapdancer i love sex text me live  im i my bedroom now text sue to 89555 by textoperator g2 1da 150ppmsg 18
ham,oic cos me n my sis got no lunch today my dad went out so dunno whether 2 eat in sch or wat
ham,hey check it da i have listed da
spam,xmas iscoming  ur awarded either 500 cd gift vouchers  free entry 2 r 100 weekly draw txt music to 87066 tnc wwwldewcom1win150ppmx3age16subscription
ham,alrite
spam,freemsg fancy a flirt reply date now  join the uks fastest growing mobile dating service msgs rcvd just 25p to optout txt stop to 83021 reply date now
ham,its on in engalnd but telly has decided it wont let me watch it and mia and elliot were kissing damn it
ham,he said i look pretty wif long hair wat but i thk hes cutting quite short 4 me leh
spam,your b4u voucher wc 2703 is marsms log onto wwwb4utelecom for discount credit to opt out reply stop customer care call 08717168528
ham,at 7 we will go ok na
ham,aiyo u so poor thing then u dun wan 2 eat u bathe already
ham,derp which is worse a dude who always wants to party or a dude who files a complaint about the three drug abusers he lives with
spam,free msg get gnarls barkleys crazy ringtone totally free just reply go to this message right now
spam,you are awarded a sipix digital camera call 09061221061 from landline delivery within 28days t cs box177 m221bp 2yr warranty 150ppm 16  p p399
spam,todays voda numbers ending 7548 are selected to receive a 350 award if you have a match please call 08712300220 quoting claim code 4041 standard rates app
spam,httptms widelivecomindex wmlid820554ad0a1705572711firsttruec c ringtone
ham, im  on the snowboarding trip i was wondering if your planning to get everyone together befor we goa meet and greet kind of affair cheers
ham,hurt me tease me make me cry but in the end of my life when i die plz keep one rose on my grave and say stupid i miss u have a nice day bslvyl
ham,shes fine good to hear from you how are you my dear happy new year oh
spam,you have 1 new message call 02070836089
spam,ever thought about living a good life with a perfect partner just txt back name and age to join the mobile community 100psms
spam,call freephone 0800 542 0578 now
spam,you can stop further club tones by replying stop mix see mytonecomenjoy html for terms club tones cost gbp450week mfl po box 1146 mk45 2wt 23
ham,i dont understand your message
spam,you have an important customer service announcement call freephone 0800 542 0825 now
ham,ok set let u noe e details later
ham,hes in lag thats just the sad part but we keep in touch thanks to skype
ham,k ill be sure to get up before noon and see whats what
spam,private your 2003 account statement for shows 800 unredeemed s i m points call 08715203652 identifier code 42810 expires 29100
spam,you wont believe it but its true its incredible txts reply g now to learn truly amazing things that will blow your mind from o2fwd only 18ptxt
spam,had your mobile 11mths  update for free to oranges latest colour camera mobiles  unlimited weekend calls call mobile upd8 on freefone 08000839402 or 2stoptx
spam,sppok up ur mob with a halloween collection of nokia logopic message plus a free eerie tone txt card spook to 8007
ham,just wondering the others just took off
spam,it to 80488 your 500 free text messages are valid until 31 december 2005
spam,please call our customer service representative on 0800 169 6031 between 10am9pm as you have won a guaranteed 1000 cash or 5000 prize
ham,ok no prob
spam,customer service annoncement you have a new years delivery waiting for you please call 07046744435 now to arrange delivery
ham,can i get your opinion on something first
spam,please call amanda with regard to renewing or upgrading your current tmobile handset free of charge offer ends today tel 0845 021 3680 subject to ts and cs
ham,no did you check i got his detailed message now
ham,each moment in a dayhas its own valuemorning brings hopeafternoon brings faithevening brings luvnight brings restwish u find them all todaygood morning
spam,your account has been credited with 500 free text messages to activate just txt the word credit to no 80488 tcs www80488biz
ham,if you hear a loud scream in about ltgt minutes its cause my gyno will be shoving things up me that dont belong 
ham,hey  i want you  i crave you  i miss you  i need you  i love you ahmad saeed al hallaq 
spam,free msg sorry a service you ordered from 81303 could not be delivered as you do not have sufficient credit please top up to receive the service
ham,you arent coming home between class right i need to work out and shower
ham,so how many days since then
ham,are you this much buzy
spam,todays offer claim ur 150 worth of discount vouchers text yes to 85023 now savamob member offers mobile t cs 08717898035 300 sub 16  unsub reply x
spam,u have a secret admirer reveal who thinks u r so special call 09065174042 to opt out reply reveal stop 150 per msg recd cust care 07821230901
ham,who are you seeing
spam,adult 18 content your video will be with you shortly
spam,twinks bears scallies skins and jocks are calling now dont miss the weekends fun call 08712466669 at 10pmin 2 stop texts call 08712460324nat rate
spam,free for 1st week no1 nokia tone 4 ur mob every week just txt nokia to 8007 get txting and tell ur mates wwwgetzedcouk pobox 36504 w45wq norm150ptone 16
ham,do you know where my lab goggles went
ham,how are you my love  are you with your brother  time to talk english with him  grins say  hey muhommad penny says hello from across the sea
spam,congratulations thanks to a good friend u have won the 2000 xmas prize 2 claim is easy just call 08718726971 now only 10p per minute btnationalrate
ham,i am going to sleep i am tired of travel
spam,we tried to contact you re your reply to our offer of a video phone 750 anytime any network mins half price line rental camcorder reply or call 08000930705
spam,yes the only place in town to meet exciting adult singles is now in the uk txt chat to 86688 now 150pmsg
ham,jade its paul y didnt u txt me do u remember me from barmed i want 2 talk 2 u txt me
spam,call 09094100151 to use ur mins calls cast 10pmin mob vary service provided by aom just gbp5month aom box61m60 1er until u stop ages 18 only
ham,where are you  what do you do  how can you stand to be away from me  doesnt your heart ache without me  dont you wonder of me  dont you crave me 
ham,crucify is c not s you should have told me earlier
ham,okay but i thought you were the expert
ham,when u love someone dont make them to love u as much as u do but love them so much that they dont want to be loved by anyone except you gud nit
ham,ok
spam,free msg ringtonefrom httptms widelivecomindex wmlid1b6a5ecef91ff937819firsttrue180430jul05
